Year,Date,OPP,FanDuel,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,SF,E,AVG,OBP,SLG,OPS
2018,15-Apr,Bal,,DNP,,,,,,,,,,,,,,,,,,
2018,17-Apr,@LAA,,DNP,,,,,,,,,,,,,,,,,,
2018,18-Apr,@LAA,,DNP,,,,,,,,,,,,,,,,,,
2018,19-Apr,@LAA,,DNP,,,,,,,,,,,,,,,,,,
2018,20-Apr,@Oak,,DNP,,,,,,,,,,,,,,,,,,
2018,21-Apr,@Oak,,DNP,,,,,,,,,,,,,,,,,,
2018,22-Apr,@Oak,,DNP,,,,,,,,,,,,,,,,,,
2018,24-Apr,@Tor,,DNP,,,,,,,,,,,,,,,,,,
2018,25-Apr,@Tor,,DNP,,,,,,,,,,,,,,,,,,
2018,26-Apr,@Tor,,DNP,,,,,,,,,,,,,,,,,,
2018,27-Apr,TB,12,4,4,0,3,1,0,0,0,0,1,0,0,0,0,0,0.405,0.432,0.738,1.17
2018,28-Apr,TB,10,5,4,0,1,0,0,0,2,0,1,0,0,0,1,0,0.391,0.408,0.696,1.104
2018,29-Apr,TB,,DNP,,,,,,,,,,,,,,,,,,
2018,30-Apr,KC,35.2,5,5,1,3,0,0,1,4,0,0,0,0,0,0,0,0.412,0.426,0.745,1.171
2018,1-May,KC,3,6,5,0,0,0,0,0,0,0,2,0,0,1,0,1,0.375,0.4,0.679,1.079
2018,2-May,KC,3,4,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0.367,0.391,0.65,1.041
2018,3-May,@Tex,9,4,3,0,1,1,0,0,0,1,0,0,0,0,0,2,0.365,0.397,0.651,1.048
2018,4-May,@Tex,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0.343,0.375,0.612,0.987
2018,4-May,@Tex,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0.343,0.375,0.612,0.987
2018,5-May,@Tex,6,4,4,0,1,1,0,0,0,0,3,0,0,0,0,0,0.338,0.368,0.606,0.974
2018,6-May,@Tex,6.5,4,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0.333,0.363,0.587,0.95
2018,8-May,@NYY,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0.316,0.345,0.557,0.902
2018,8-May,@NYY,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0.316,0.345,0.557,0.902
